"Mensajes"	"Sexo"	"Movil"
60	"H"	0
41	"H"	0
53	"M"	1
53	"M"	0
41	"H"	0
56	"H"	0
50	"H"	0
53	"M"	1
50	"M"	1
48	"M"	0
50	"M"	1
48	"M"	1
56	"H"	0
52	"M"	1
54	"M"	0
50	"H"	1
50	"H"	0
54	"H"	0
52	"H"	1
48	"H"	0
48	"H"	1
35	"M"	1
50	"M"	1
41	"M"	1
56	"M"	1
52	"M"	1
56	"M"	0
54	"H"	1
53	"H"	0
53	"M"	0
53	"H"	0
41	"M"	1
48	"M"	0
50	"H"	1
50	"M"	1
52	"H"	0
53	"M"	0
35	"H"	0
35	"H"	0
54	"M"	0
46	"M"	1
48	"H"	0
50	"M"	0
48	"H"	0
41	"M"	0
48	"M"	1
60	"H"	1
53	"M"	0
54	"M"	1
56	"H"	1
50	"H"	1
41	"H"	0
60	"M"	1
60	"M"	1
54	"H"	0
54	"H"	0
53	"H"	0
35	"M"	0
54	"H"	0
48	"M"	0
50	"H"	0
54	"H"	0
54	"H"	0
53	"H"	0
52	"H"	0
50	"H"	0
52	"H"	0
48	"H"	1
46	"H"	1
53	"H"	0
50	"H"	0
35	"H"	0
50	"H"	1
60	"M"	1
50	"H"	0
